symbol,order,rmse,train_len,test_len,portfolio
DIA,"(2, 0, 0)",0.006474706704075229,1875,100,all
SPY,"(2, 0, 0)",0.006641963465278907,1875,100,all
XLF,"(2, 0, 0)",0.008175488957680055,1875,100,all
QQQ,"(2, 0, 1)",0.008853996703466156,1875,100,all
PG,"(1, 0, 0)",0.009143353639650959,1875,100,all
XLV,"(2, 0, 0)",0.009161287639394137,1875,100,all
MCD,"(3, 0, 0)",0.009588717826136116,1875,100,all
KO,"(0, 0, 0)",0.009724134427398511,1875,100,all
JNJ,"(1, 0, 0)",0.010456577521055176,1875,100,all
MSFT,"(0, 0, 1)",0.010626621435339288,1875,100,all
XLK,"(2, 0, 0)",0.01066794513012601,1875,100,all
XLY,"(2, 0, 0)",0.010781449247576114,1875,100,all
XLE,"(0, 0, 0)",0.01083095303186272,1875,100,all
HD,"(2, 0, 0)",0.011848625524461878,1875,100,all
IWM,"(2, 0, 0)",0.01186580555427978,1875,100,all
AAPL,"(1, 0, 0)",0.014792677127155375,1875,100,all
GOOGL,"(1, 0, 0)",0.018197104710989457,1875,100,all
AMZN,"(0, 0, 0)",0.020311163968106807,1875,100,all
NVDA,"(1, 0, 0)",0.020346728176021303,1875,100,all
META,"(1, 0, 0)",0.021501941842002513,1875,100,all
